2025-11-26 12:45:06 | debug_robo_cima | INFO | Iniciando logs de depuração para robo_cima
2025-11-26 12:45:06 | debug_robo_cima | INFO | Arquivo de log: logs\depuracao\robo_cima_20251126_124506.log
2025-11-26 12:45:06 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
2025-11-26 12:48:14 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
2025-11-26 12:48:48 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
2025-11-26 12:48:54 | debug_robo_cima | INFO | Iniciando logs de depuração para robo_cima
2025-11-26 12:48:54 | debug_robo_cima | INFO | Arquivo de log: logs\depuracao\robo_cima_20251126_124854.log
2025-11-26 12:48:54 | debug_robo_cima | INFO | 
----------------------------------------
2025-11-26 12:48:54 | debug_robo_cima | INFO | 📌 DEFINIÇÃO DE GLOBAIS PILAR ESPECIAL
2025-11-26 12:48:54 | debug_robo_cima | INFO | ----------------------------------------
2025-11-26 12:48:54 | debug_robo_cima | INFO | ℹ️ 🔄 Recebido para definir: <class 'dict'> com 37 itens
2025-11-26 12:48:54 | debug_robo_cima | INFO | ℹ️ 🔄 ID do objeto globais recebido: 2465385651264
2025-11-26 12:48:54 | debug_robo_cima | INFO | ℹ️ 🔄 _globais_pilar_especial ANTES: ID=2465386178240, len=0
2025-11-26 12:48:54 | debug_robo_cima | INFO | ℹ️ 🔄 _globais_pilar_especial APÓS: ID=2465385651264, len=37
2025-11-26 12:48:54 | debug_robo_cima | INFO | ℹ️ 🔄 Verificação de igualdade: globais is _globais_pilar_especial = True
2025-11-26 12:48:54 | debug_robo_cima | INFO | ℹ️ 🔄 Amostra de chaves recebidas: ['pilar1_paia_posicao', 'pilar1_paib_posicao', 'pilar1_gradea_posicao']
2025-11-26 12:48:54 | debug_robo_cima | INFO | ℹ️ 🔄 Amostra de chaves armazenadas: ['pilar1_paia_posicao', 'pilar1_paib_posicao', 'pilar1_gradea_posicao']
2025-11-26 12:48:54 | debug_robo_cima | INFO | ℹ️ ✅ Globais do pilar especial definidas: 37 valores
2025-11-26 12:48:54 | debug_robo_cima | INFO | ℹ️    Tipo: L
2025-11-26 12:48:54 | debug_robo_cima | INFO | ℹ️    Dimensões: comp_1=150.0, comp_2=150.0
2025-11-26 12:48:54 | debug_robo_cima | INFO | ℹ️    Larguras: larg_1=50.0, larg_2=50.0
