2025-09-16 02:05:06 | debug_robo_cima | INFO | Iniciando logs de depuração para robo_cima
2025-09-16 02:05:06 | debug_robo_cima | INFO | Arquivo de log: logs\depuracao\robo_cima_20250916_020506.log
2025-09-16 02:24:23 | debug_robo_cima | INFO | Iniciando logs de depuração para robo_cima
2025-09-16 02:24:23 | debug_robo_cima | INFO | Arquivo de log: logs\depuracao\robo_cima_20250916_022423.log
2025-09-16 02:24:23 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
2025-09-16 02:24:24 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
2025-09-16 02:25:10 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
2025-09-16 02:25:11 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
2025-09-16 02:25:21 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
2025-09-16 02:25:26 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
2025-09-16 02:25:54 | debug_robo_cima | WARNING | ⚠️ Instancia do GeradorPilar nao disponivel para alterar checkbox
